CustomerID,Age,Gender,MaritalStatus,Education,Occupation,AnnualIncome,SpendingScore,MembershipStatus,OnlineActivityScore,TenureYears,PreferredChannel,FrequencyOfPurchase,AvgTransactionValue,Region,LoyaltyScore,ProductCategory,CouponUsageRate,SatisfactionRating
CUST0001,56,Other,Single,None,Unemployed,117638,74,Silver,4,4.8,In-store,1,61.88,North,5,Books,0.53,5
CUST0002,69,Other,Widowed,Master's,Unemployed,27226,39,None,89,5.1,In-store,19,908.74,West,27,Books,0.53,3
CUST0003,46,Other,Married,None,Retired,108405,15,None,10,6.0,Both,33,724.05,East,28,Books,0.96,5
CUST0004,32,Male,Married,PhD,Unemployed,37588,71,Gold,70,0.6,Online,4,680.34,Central,26,Groceries,0.32,3
CUST0005,60,Other,Divorced,High School,Retired,52019,29,Gold,55,9.5,Online,42,527.35,East,91,Groceries,0.48,2
CUST0006,25,Male,Married,None,Self-employed,80133,3,None,9,3.8,Online,3,784.13,North,49,Books,0.81,5
CUST0007,38,Female,Married,None,Professional,129444,83,None,33,3.2,Both,27,164.09,North,21,Beauty,0.76,2
CUST0008,56,Other,Divorced,High School,Unemployed,132603,10,Platinum,66,19.8,Both,41,398.02,South,1,Home & Living,0.27,2
CUST0009,36,Male,Married,Master's,Professional,143585,92,Gold,71,6.7,Online,35,495.1,Central,92,Electronics,0.15,2
CUST0010,40,Male,Married,High School,Professional,58395,29,Gold,30,0.6,Online,28,119.31,South,58,Beauty,0.7,2
CUST0011,28,Other,Married,None,Professional,140814,79,Silver,74,7.1,In-store,6,425.32,East,79,Clothing,0.26,1
CUST0012,28,Female,Married,Master's,Self-employed,127599,35,Platinum,70,0.5,Both,6,323.34,West,55,Groceries,0.92,4
CUST0013,41,Female,Divorced,Master's,Student,40939,6,None,65,0.1,Both,44,45.23,South,81,Home & Living,0.13,1
CUST0014,53,Female,Married,High School,Unemployed,15203,12,Platinum,69,2.6,Online,23,145.37,North,26,Home & Living,0.32,3
CUST0015,57,Male,Married,None,Student,44063,38,None,40,25.2,Online,33,766.4,Central,84,Clothing,0.05,3
CUST0016,41,Male,Divorced,PhD,Student,105880,77,None,62,1.0,Both,16,27.86,East,25,Clothing,0.7,4
CUST0017,20,Male,Widowed,None,Student,18748,93,Platinum,31,5.6,In-store,24,934.91,North,77,Home & Living,0.89,4
CUST0018,39,Male,Single,Bachelor's,Professional,132269,19,Gold,19,1.0,Online,5,95.56,West,33,Clothing,0.64,4
CUST0019,19,Female,Widowed,PhD,Retired,95764,67,None,56,6.5,Both,41,801.25,Central,89,Home & Living,0.94,2
CUST0020,41,Other,Divorced,Master's,Professional,123036,8,Platinum,97,3.5,Both,42,899.63,West,72,Beauty,0.13,1
CUST0021,61,Male,Single,PhD,Professional,131525,8,Silver,49,5.7,In-store,13,941.72,West,69,Clothing,0.09,3
CUST0022,47,Male,Divorced,Master's,Student,100679,84,Platinum,79,1.1,In-store,47,868.8,Central,6,Beauty,0.84,1
CUST0023,55,Female,Divorced,Master's,Professional,140829,47,Silver,24,6.8,Online,12,294.67,Central,23,Beauty,0.86,1
